,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,test_accuracy_with_best_hyp,model_name,seed
0,0.5975716908772787,0.08182446258554073,0.002659479777018229,0.0009404366848100523,0.05,8,50,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 50}",0.9285714285714286,0.975609756097561,0.9512195121951219,0.9518002322880372,0.019207706630129162,172,0.9814814814814815,Catboost,0
1,1.1791226069132488,0.10383556306125442,0.003989458084106445,0.0014105708099171196,0.05,8,100,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 100}",1.0,0.975609756097561,0.975609756097561,0.983739837398374,0.01149767123880566,1,0.9814814814814815,Catboost,0
2,2.473885695139567,0.27503220360814934,0.031581481297810875,0.03621101258224755,0.05,8,150,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 150}",0.9761904761904762,0.975609756097561,0.975609756097561,0.9758033294618661,0.000273754077114418,15,0.9814814814814815,Catboost,0
3,2.850238800048828,0.16520325274781528,0.012300332387288412,0.005422171920894608,0.05,10,50,"{'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 50}",1.0,0.975609756097561,0.975609756097561,0.983739837398374,0.01149767123880566,1,0.9814814814814815,Catboost,0
4,4.410390059153239,0.19136026657637958,0.002659479777018229,0.0004703027242327683,0.05,10,100,"{'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 100}",1.0,0.975609756097561,0.975609756097561,0.983739837398374,0.01149767123880566,1,0.9814814814814815,Catboost,0
5,6.765151262283325,0.27918897364714146,0.017618735631306965,0.01579744948674187,0.05,10,150,"{'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 150}",0.9761904761904762,0.975609756097561,0.975609756097561,0.9758033294618661,0.000273754077114418,15,0.9814814814814815,Catboost,0
6,7.00562842686971,0.03443420022018915,0.013297239939371744,0.008969644860344524,0.05,12,50,"{'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 50}",0.9761904761904762,0.9512195121951219,0.926829268292683,0.951413085559427,0.020152093592938285,193,0.9814814814814815,Catboost,0
7,14.133419275283813,0.24149397846929116,0.0109709103902181,0.010586297940542007,0.05,12,100,"{'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 100}",1.0,0.975609756097561,0.9512195121951219,0.975609756097561,0.0199145507543348,24,0.9814814814814815,Catboost,0
8,20.512712240219116,0.816350199467792,0.011303424835205078,0.004630426046076653,0.05,12,150,"{'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 150}",1.0,0.9512195121951219,0.9512195121951219,0.9674796747967479,0.02299534247761132,93,0.9814814814814815,Catboost,0
9,20.784148772557575,2.9413754054926335,0.02593088150024414,0.01878162099986096,0.05,14,50,"{'learning_rate': 0.05, 'max_depth': 14, 'n_estimators': 50}",0.9523809523809523,0.975609756097561,0.975609756097561,0.9678668215253582,0.010950163084576825,44,0.9814814814814815,Catboost,0
10,40.120607137680054,2.4384095510225254,0.04388141632080078,0.03423219919088821,0.05,14,100,"{'learning_rate': 0.05, 'max_depth': 14, 'n_estimators': 100}",0.9761904761904762,0.975609756097561,0.975609756097561,0.9758033294618661,0.000273754077114418,15,0.9814814814814815,Catboost,0
11,61.755280097325645,1.905428373158471,0.006317138671875,0.004700722333309712,0.05,14,150,"{'learning_rate': 0.05, 'max_depth': 14, 'n_estimators': 150}",0.9761904761904762,0.9512195121951219,0.975609756097561,0.967673248161053,0.01163696350382435,53,0.9814814814814815,Catboost,0
12,48.39387075106303,10.308950718864024,0.09624671936035156,0.13188102932618562,0.05,16,50,"{'learning_rate': 0.05, 'max_depth': 16, 'n_estimators': 50}",1.0,0.975609756097561,0.975609756097561,0.983739837398374,0.01149767123880566,1,0.9814814814814815,Catboost,0
13,87.07145301500957,11.892682171018286,0.03523969650268555,0.044900550077144816,0.05,16,100,"{'learning_rate': 0.05, 'max_depth': 16, 'n_estimators': 100}",1.0,0.975609756097561,0.975609756097561,0.983739837398374,0.01149767123880566,1,0.9814814814814815,Catboost,0
14,117.50402347246806,14.787250742033416,0.026595115661621094,0.02792954308286503,0.05,16,150,"{'learning_rate': 0.05, 'max_depth': 16, 'n_estimators': 150}",1.0,0.9512195121951219,0.975609756097561,0.975609756097561,0.0199145507543348,24,0.9814814814814815,Catboost,0
15,0.006316264470418294,0.004016708692748521,0.0,0.0,0.05,18,50,"{'learning_rate': 0.05, 'max_depth': 18, 'n_estimators': 50}",,,,,,265,0.9814814814814815,Catboost,0
16,0.005318562189737956,0.002617131391526405,0.0,0.0,0.05,18,100,"{'learning_rate': 0.05, 'max_depth': 18, 'n_estimators': 100}",,,,,,264,0.9814814814814815,Catboost,0
17,0.006649176279703776,0.001880704976167691,0.0,0.0,0.05,18,150,"{'learning_rate': 0.05, 'max_depth': 18, 'n_estimators': 150}",,,,,,263,0.9814814814814815,Catboost,0
18,1.3549514611562092,0.14422564482786804,0.00964196523030599,0.004977002872259058,0.060000000000000005,8,50,"{'learning_rate': 0.060000000000000005, 'max_depth': 8, 'n_estimators': 50}",0.9285714285714286,0.975609756097561,0.926829268292683,0.9436701509872242,0.02259590761712392,219,0.9814814814814815,Catboost,0
19,1.8318804899851482,0.18543344787468163,0.03158307075500488,0.021794550003870112,0.060000000000000005,8,100,"{'learning_rate': 0.060000000000000005, 'max_depth': 8, 'n_estimators': 100}",0.9285714285714286,0.9512195121951219,0.975609756097561,0.9518002322880372,0.019207706630129162,172,0.9814814814814815,Catboost,0
