,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,test_r2_with_best_hyp,model_name,seed
0,0.10916047096252442,0.07122116747668611,0.004587554931640625,0.0004892222967990688,0.2,1,50,"{'learning_rate': 0.2, 'max_depth': 1, 'n_estimators': 50}",0.8733130042006231,0.8283748282326833,0.3309521919308034,0.9582608428757369,0.9003004047998994,0.7782402544079492,0.22756318097015663,13,0.8895902560522445,Catboost,0
1,0.06859288215637208,0.006486144105383528,0.003789997100830078,0.000746314707148503,0.2,1,100,"{'learning_rate': 0.2, 'max_depth': 1, 'n_estimators': 100}",0.9025878703318351,0.8674957281995562,0.28529292161661657,0.9574121535330362,0.9298771851883814,0.788533171773885,0.25337424871793796,10,0.8895902560522445,Catboost,0
2,0.08514676094055176,0.0035485242527957435,0.0039886474609375,0.0014109418422284068,0.2,1,150,"{'learning_rate': 0.2, 'max_depth': 1, 'n_estimators': 150}",0.9117297030280705,0.871896979681831,0.28868013310066276,0.9585179476303856,0.9417710921704436,0.7945191711222787,0.25462815766614744,8,0.8895902560522445,Catboost,0
3,0.06203317642211914,0.003301344186575595,0.0055849552154541016,0.0004887154025535739,0.2,3,50,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 50}",0.9175728385783172,0.854340718816302,0.28245780137761645,0.9569724575612422,0.8750314227221991,0.7772750478111353,0.24992565415192117,14,0.8895902560522445,Catboost,0
4,0.09095606803894044,0.0007477312441912628,0.00498814582824707,0.001093411147990814,0.2,3,100,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}",0.9217650857176636,0.8675822591558224,0.26714234193675224,0.9607627556520402,0.8843557557986985,0.7803216396521954,0.2585945666174758,12,0.8895902560522445,Catboost,0
5,0.11309714317321777,0.0018492326916651593,0.004985380172729492,2.757421931228821e-06,0.2,3,150,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 150}",0.9233841308269956,0.8707611501732285,0.27536293556675073,0.9616696243145169,0.8858677846996024,0.7834091251162189,0.25597222182067986,11,0.8895902560522445,Catboost,0
6,0.07380123138427734,0.006675227016554546,0.0047872066497802734,0.0011630311171788037,0.2,5,50,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 50}",0.9032591733741792,0.9081078962530865,0.4135803410078964,0.9128545362168452,0.8276364606561666,0.7930876815016348,0.19231793808221082,9,0.8895902560522445,Catboost,0
7,0.1194791316986084,0.025748124654170142,0.00578465461730957,0.0015949491918365324,0.2,5,100,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100}",0.909423911357916,0.9211753688466598,0.43230176963690325,0.9231967122733626,0.8394516963794829,0.805109891698865,0.18892451524376397,6,0.8895902560522445,Catboost,0
8,0.2072439193725586,0.044549734702350414,0.006183338165283203,0.002034924589707299,0.2,5,150,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 150}",0.9091385569121656,0.9215197807522009,0.44204248198946394,0.9250477144506922,0.8405374635516216,0.8076571995312289,0.18536392299281534,5,0.8895902560522445,Catboost,0
9,0.10452075004577636,0.006444637319268286,0.005583953857421875,0.0011977209503052928,0.2,7,50,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 50}",0.8740500632429786,0.8472014074453056,0.41743057725168764,0.8800413681667609,0.783750637883689,0.7604948107980843,0.17489317337785487,27,0.8895902560522445,Catboost,0
10,0.21961231231689454,0.04203512863483846,0.005584049224853516,0.000797001699413593,0.2,7,100,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 100}",0.8800257202886779,0.8535767004569986,0.399801053970094,0.8906690223298594,0.7951805280927406,0.7638506050276741,0.1850102593254869,22,0.8895902560522445,Catboost,0
11,0.2731973171234131,0.015810093532321243,0.00638270378112793,0.0010172617559219995,0.2,7,150,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 150}",0.8801098261380589,0.853490739318064,0.3986037265872159,0.891304420315481,0.7961196748254753,0.763925677436859,0.1856031153278371,21,0.8895902560522445,Catboost,0
12,0.15170392990112305,0.011413449622648085,0.006203174591064453,0.0016310102251597478,0.2,9,50,"{'learning_rate': 0.2, 'max_depth': 9, 'n_estimators': 50}",0.8051548225522522,0.8718627990052821,0.2935837048946751,0.8275317208833324,0.7467688149350797,0.7089803724541243,0.21157362300149143,36,0.8895902560522445,Catboost,0
13,0.29952034950256345,0.04942122152512512,0.006781864166259766,0.0031156008028114784,0.2,9,100,"{'learning_rate': 0.2, 'max_depth': 9, 'n_estimators': 100}",0.8147885465281202,0.8806926466242799,0.2996827515787396,0.842454009574767,0.7534789033073424,0.7182193715226498,0.21334176937073368,31,0.8895902560522445,Catboost,0
14,0.4146881580352783,0.04070961917690463,0.005586385726928711,0.0007965012585167043,0.2,9,150,"{'learning_rate': 0.2, 'max_depth': 9, 'n_estimators': 150}",0.8148746816891979,0.8808398530696443,0.29808025836727214,0.8430662164420885,0.7536346705083057,0.7180991360153017,0.21407729922187024,32,0.8895902560522445,Catboost,0
15,0.05365400314331055,0.0021313323465747287,0.00478968620300293,0.000977643662954772,0.4,1,50,"{'learning_rate': 0.4, 'max_depth': 1, 'n_estimators': 50}",0.8613491232812587,0.8876984143445281,0.28069731402488496,0.9251550751579641,0.9216034417938972,0.7753006737205066,0.24840729166733636,15,0.8895902560522445,Catboost,0
